Turtle_ID,Turtle_ID_2,SMR_gravid,SMR_nongravid,Female_Mass_g,Egg_Mass_g,Clutch_Size,Egg_SMR
ABL,1,4.70855,2.89674,154,16.9,Four,0.0154932
ABT,2,5.103395,4.21014,145,12.4,Three,0.01842
ABU,3,5.17193,3.4504,146,18,Four,0.0130554
ACI,4,3.683805,2.51466,111,14.3,Four,0.0089736
ACT,5,4.75763,3.431706667,124,14,Four,0.0166836
ACO,6,5.28100165,2.88264,196,19.8,Four,0.0192456
ABI,7,4.452075,2.92466,167,15.5,Four,0.0170654
AHM,8,2.93571333,2.72474,100,11.1,Three,0.0085224
AHT,9,3.88664,2.88264,139,17,Six,0.0187584
AHL,10,4.43916,2.5949,149,15.1,Five,0.0237246
AIN,11,4.50848,3.85448,139,10.5,Three,0.0131868
AHO,12,4.43260667,2.042794,105,13.6,Four,0.0171828
AH,13,4.672386665,2.7247,126,11,Three,0.0136392
AJV,14,3.21746,2.56876,142,8,Two,0.0050742
AKL,15,4.432607,2.44084,124,12.9,Four,0.0178662
