Turtle_ID,Status ,SMR
ABL,Pre-Oviposition,4.70855
ABT,Pre-Oviposition,5.103395
ABU,Pre-Oviposition,5.17193
ACI,Pre-Oviposition,3.683805
ACT,Pre-Oviposition,4.75763
ACO,Pre-Oviposition,5.28100165
ABI,Pre-Oviposition,4.452075
AHM,Pre-Oviposition,2.93571333
AHT,Pre-Oviposition,3.88664
AHL,Pre-Oviposition,4.43916
AIN,Pre-Oviposition,4.50848
AHO,Pre-Oviposition,4.43260667
AH,Pre-Oviposition,4.672386665
AJV,Pre-Oviposition,3.21746
AKL,Pre-Oviposition,4.432607
ABL,Post-Oviposition,2.89674
ABT,Post-Oviposition,4.21014
ABU,Post-Oviposition,3.4504
ACI,Post-Oviposition,2.51466
ACT,Post-Oviposition,3.431706667
ACO,Post-Oviposition,2.88264
ABI,Post-Oviposition,2.92466
AHM,Post-Oviposition,2.72474
AHT,Post-Oviposition,2.88264
AHL,Post-Oviposition,2.5949
AIN,Post-Oviposition,3.85448
AHO,Post-Oviposition,2.042794
AH,Post-Oviposition,2.7247
AJV,Post-Oviposition,2.56876
AKL,Post-Oviposition,2.44084
